Class,Sample_ID,Year,Treatment,Season,Replicate,Count,Experiment
alphaproteobacteria,2018-NH-Bloom-B,2018,NH,Bloom,B,85,Herbicide
alphaproteobacteria,2018-NH-Harvest-C,2018,NH,Harvest,C,75,Herbicide
alphaproteobacteria,2018-SF-Bloom-B,2018,SF,Bloom,B,74,Fertilizer
alphaproteobacteria,2018-SF-Harvest-C,2018,SF,Harvest,C,86,Fertilizer
alphaproteobacteria,2018-OF-Bloom-A,2018,OF,Bloom,A,72,Fertilizer
alphaproteobacteria,2016-H-Bud-A,2016,H,Bud,A,92,Herbicide
alphaproteobacteria,2016-H-Bud-B,2016,H,Bud,B,82,Herbicide
alphaproteobacteria,2016-H-Bud-C,2016,H,Bud,C,119,Herbicide
alphaproteobacteria,2016-H-Bloom-A,2016,H,Bloom,A,80,Herbicide
alphaproteobacteria,2016-H-Bloom-B,2016,H,Bloom,B,105,Herbicide
alphaproteobacteria,2016-H-Bloom-C,2016,H,Bloom,C,77,Herbicide
alphaproteobacteria,2016-H-Veraison-A,2016,H,Veraison,A,128,Herbicide
alphaproteobacteria,2016-H-Veraison-B,2016,H,Veraison,B,61,Herbicide
alphaproteobacteria,2016-H-Veraison-C,2016,H,Veraison,C,86,Herbicide
alphaproteobacteria,2016-H-Harvest-A,2016,H,Harvest,A,112,Herbicide
alphaproteobacteria,2016-H-Harvest-B,2016,H,Harvest,B,113,Herbicide
alphaproteobacteria,2016-H-Harvest-C,2016,H,Harvest,C,125,Herbicide
alphaproteobacteria,2016-HW-Bud-A,2016,HW,Bud,A,87,Crop Cover
alphaproteobacteria,2016-HW-Bud-B,2016,HW,Bud,B,64,Crop Cover
alphaproteobacteria,2016-HW-Bud-C,2016,HW,Bud,C,72,Crop Cover
alphaproteobacteria,2016-HW-Bloom-A,2016,HW,Bloom,A,94,Crop Cover
alphaproteobacteria,2016-HW-Bloom-B,2016,HW,Bloom,B,101,Crop Cover
alphaproteobacteria,2016-HW-Bloom-C,2016,HW,Bloom,C,67,Crop Cover
alphaproteobacteria,2016-HW-Veraison-A,2016,HW,Veraison,A,83,Crop Cover
alphaproteobacteria,2016-HW-Veraison-B,2016,HW,Veraison,B,84,Crop Cover
alphaproteobacteria,2016-HW-Veraison-C,2016,HW,Veraison,C,80,Crop Cover
alphaproteobacteria,2016-HW-Harvest-A,2016,HW,Harvest,A,90,Crop Cover
alphaproteobacteria,2016-HW-Harvest-B,2016,HW,Harvest,B,90,Crop Cover
alphaproteobacteria,2016-HW-Harvest-C,2016,HW,Harvest,C,93,Crop Cover
alphaproteobacteria,2016-LW-Bud-A,2016,LW,Bud,A,82,Crop Cover
alphaproteobacteria,2016-LW-Bud-B,2016,LW,Bud,B,57,Crop Cover
alphaproteobacteria,2016-LW-Bud-C,2016,LW,Bud,C,80,Crop Cover
alphaproteobacteria,2016-LW-Bloom-A,2016,LW,Bloom,A,81,Crop Cover
alphaproteobacteria,2016-LW-Bloom-B,2016,LW,Bloom,B,86,Crop Cover
alphaproteobacteria,2016-LW-Bloom-C,2016,LW,Bloom,C,98,Crop Cover
alphaproteobacteria,2016-LW-Veraison-A,2016,LW,Veraison,A,61,Crop Cover
alphaproteobacteria,2016-LW-Veraison-B,2016,LW,Veraison,B,92,Crop Cover
